school_id,school,games,wins,lossess,win_pct,conf_wins,conf_losses,home_wins,home_losses,away_wins,away_losses,ORtg,DRtg,NRtg,fg_pg,fga_pg,fg%_pg,3p_pg,3pa_pg,3p%_pg,eFG%,ft_pg,fta_pg,ft%_pg,orb,trb,ast,stl,blk,tov,pf,school_pts,opp_pts,SRS,SOS,Pace
1,Ohio State,29,25,4,0.862,16,2,15,1,8,2,107.3,84.3,23,29.4,62.3,0.471,7.7,21.6,0.355,0.533,14,19.6,0.718,10.1,34.2,17.8,10.7,3.3,13.5,17.5,80.4,63.2,34.28,17.28,74.3
2,Indiana,28,24,4,0.857,15,3,15,0,7,4,112.3,89.3,23,29.8,57.8,0.516,8.3,20.6,0.405,0.588,12.4,16.9,0.732,7.6,35,18.5,6.4,4,13.3,15.8,80.3,63.9,30.25,13.79,71.5
3,Iowa,30,26,4,0.867,15,3,13,1,8,3,119.3,92.5,26.9,33.2,65.6,0.505,11.1,29.1,0.382,0.59,15.2,19.6,0.774,10.7,41.4,21.5,7.6,3.2,13.8,14.8,92.7,71.8,37.03,16.16,77.3
4,Michigan State,29,22,7,0.759,12,6,13,2,6,4,113.3,90,23.3,30.8,63.4,0.485,9.3,24.9,0.373,0.559,13.7,18.5,0.739,9.1,34.4,19.1,9.4,3.4,11.7,15.8,84.5,67.1,28.21,10.83,74.6
5,Nebraska,29,19,10,0.655,11,7,13,3,5,6,103.6,90.4,13.2,25.8,60.8,0.424,8.2,25.1,0.327,0.491,13.2,17.9,0.738,13.3,41.4,16.4,6.6,1.8,14.4,16.4,73,63.7,22.52,13.21,70.5
6,Maryland,29,17,12,0.586,9,9,12,3,3,8,101.6,95.3,6.2,28.1,63.7,0.441,5.7,15.9,0.357,0.485,16.1,21,0.77,12.3,38.6,16.3,7.9,2.3,15.3,17.3,77.9,73.1,22.6,17.8,76.4
7,Michigan,30,18,12,0.6,9,9,11,4,5,6,99.8,90.4,9.4,25.8,59.6,0.433,6.9,20,0.346,0.491,11.3,15.7,0.718,12.5,36.3,13.3,6.8,2.1,15.5,17.3,69.8,63.2,18.99,12.39,69.6
8,Penn State,29,18,11,0.621,9,9,12,4,5,6,107.6,90.9,16.7,31.2,63.1,0.495,9,23.2,0.386,0.566,13,17.7,0.735,10.2,36.2,17.7,9.8,4.2,17.2,18.9,84.4,71.4,25.4,12.33,78.2
9,Illinois,28,14,14,0.5,8,10,10,5,3,7,105.2,96,9.1,28.1,62,0.454,5.4,16.8,0.32,0.497,13.1,16.4,0.802,10.9,36,14.4,6.9,2.8,11.9,15.4,74.8,68.3,19.38,12.88,70.8
10,Wisconsin,28,13,15,0.464,6,12,8,7,4,7,86.9,95.2,-8.3,22.3,55.5,0.401,5.9,21,0.281,0.454,11.6,15.9,0.73,10.4,36.6,14,7.3,4.5,19,15.8,62.1,68,7.62,13.55,71.5
11,Minnesota,29,15,14,0.517,5,13,13,6,2,8,98.6,93,5.7,26.6,63,0.422,7.1,21.7,0.329,0.479,9.8,14.4,0.682,12.2,38.1,14.7,7.9,1.8,13.7,14,70.1,66.1,16.38,12.35,70.5
12,Purdue,29,12,17,0.414,5,13,9,6,3,9,96,97.2,-1.2,24.9,59.5,0.419,6.5,19.4,0.335,0.474,12.3,15.7,0.789,10.4,34.8,15.5,7.5,2.8,14.8,15.7,68.7,69.6,14.46,15.32,71.3
13,Northwestern,29,9,20,0.31,4,14,6,9,3,9,90.5,110.3,-19.8,24.8,60.3,0.412,5.6,15.8,0.352,0.458,10.7,14,0.768,10.2,34.1,17.4,5.9,4,16.4,17.2,65.9,80.4,-0.22,14.23,72.6
14,Rutgers,31,8,23,0.258,2,16,7,11,1,10,91.5,101.4,-9.9,23.4,55.5,0.42,5.1,16,0.319,0.466,13.9,19.5,0.712,11.5,36.4,12.4,6.9,4.1,18.5,18.6,65.7,72.8,3.79,10.92,71.8
